"CBcond","Gamble","X_location","domain","dominated","first_gamble_trial","game_winnings","orderA","orderB","p","primary_odds","primary_stakes","primary_winnings","q","real_winnings","response","response_time","risk_selected","second_gamble_trial","secondary_odds","secondary_stakes","secondary_winnings","version","x","y"
"4","53","1","2","no","6","NA","8","2","30","NA","NA","NA","40","NA","p","23738","1","89","NA","NA","NA","4","300","200"
"4","25","2","2","no","6","NA","8","2","60","NA","NA","NA","90","NA","p","2711","1","89","NA","NA","NA","1","300","200"
"4","16","2","2","no","6","NA","8","2","30","NA","NA","NA","40","NA","p","16047","1","89","NA","NA","NA","1","400","300"
"4","68","4","2","no","6","NA","8","2","70","NA","NA","NA","100","NA","l","3081","1","89","NA","NA","NA","3","300","200"
"4","63","1","2","no","6","NA","8","2","50","NA","NA","NA","70","NA","l","10430","0","89","NA","NA","NA","4","300","200"
"4","11","1","2","no","6","NA","8","2","20","NA","NA","NA","100","NA","l","9864","0","89","NA","NA","NA","4","500","100"
"4","61","3","2","no","6","NA","8","2","40","NA","NA","NA","70","NA","l","11048","1","89","NA","NA","NA","2","500","300"
"4","46","4","2","no","6","NA","8","2","20","NA","NA","NA","30","NA","l","8642","1","89","NA","NA","NA","3","400","300"
"4","26","2","2","no","6","NA","8","2","60","NA","NA","NA","80","NA","p","1973","1","89","NA","NA","NA","1","400","300"
"4","44","2","2","no","6","NA","8","2","20","NA","NA","NA","70","NA","p","1322","1","89","NA","NA","NA","1","400","100"
"4","41","2","2","no","6","NA","8","2","20","NA","NA","NA","50","NA","p","2071","1","89","NA","NA","NA","1","200","100"
"4","48","3","2","no","6","NA","8","2","20","NA","NA","NA","30","NA","l","1791","1","89","NA","NA","NA","2","500","300"
"4","51","2","2","no","6","NA","8","2","30","NA","NA","NA","80","NA","p","2694","1","89","NA","NA","NA","1","300","100"
"4","65","2","2","no","6","NA","8","2","50","NA","NA","NA","70","NA","p","1392","1","89","NA","NA","NA","1","400","300"
"4","7","3","2","no","6","NA","8","2","20","NA","NA","NA","60","NA","l","3714","1","89","NA","NA","NA","2","300","100"
"4","9","2","2","no","6","NA","8","2","20","NA","NA","NA","80","NA","p","2737","1","89","NA","NA","NA","1","400","100"
"4","3","4","2","no","6","NA","8","2","10","NA","NA","NA","40","NA","p","7364","0","89","NA","NA","NA","3","400","100"
"4","22","3","2","no","6","NA","8","2","40","NA","NA","NA","50","NA","l","6305","1","89","NA","NA","NA","2","500","400"
"4","47","2","2","no","6","NA","8","2","20","NA","NA","NA","90","NA","p","2320","1","89","NA","NA","NA","1","500","100"
"4","14","1","2","no","6","NA","8","2","30","NA","NA","NA","90","NA","p","7950","1","89","NA","NA","NA","4","300","100"
"4","58","4","2","no","6","NA","8","2","40","NA","NA","NA","70","NA","l","13703","1","89","NA","NA","NA","3","200","100"
